id,instruction_target_image,instruction_prompt,source
edit_1,image_edit_magic_data/image_1.png,color the lemur green,image_edit_meta
edit_2,image_edit_magic_data/image_2.png,make the horse into a unicorn,image_edit_meta
edit_3,image_edit_magic_data/image_3.png,insert a fish,image_edit_meta
edit_4,image_edit_magic_data/image_4.png,turn elephant into dragon,image_edit_meta
edit_5,image_edit_magic_data/image_5.png,put her in a snowy mountain,image_edit_meta
edit_6,image_edit_magic_data/image_6.png,make it a sunny day,image_edit_meta
edit_7,image_edit_magic_data/image_7.png,give it a warm and sunny day,image_edit_meta
edit_8,image_edit_magic_data/image_8.png,replace the white coat with a black one,image_edit_meta
edit_9,image_edit_magic_data/image_9.png,put him in a colosseum,image_edit_meta
edit_10,image_edit_magic_data/image_10.png,give the cat a bow tie,image_edit_meta
edit_11,image_edit_magic_data/image_11.png,make the beach a desert,image_edit_meta
edit_12,image_edit_magic_data/image_12.png,change the background to a bustling city square,image_edit_meta
edit_13,image_edit_magic_data/image_13.png,have her walk on water,image_edit_meta
edit_14,image_edit_magic_data/image_14.png,more futuristic,image_edit_meta
edit_15,image_edit_magic_data/image_15.png,have them holding hands,image_edit_meta
edit_16,image_edit_magic_data/image_16.png,change their outfits to modern ones,image_edit_meta
edit_17,image_edit_magic_data/image_17.png,have him be holding a surfboard,image_edit_meta
edit_18,image_edit_magic_data/image_18.png,replace spaceship with a giant pizza,image_edit_meta
edit_19,image_edit_magic_data/image_19.png,convert to a futuristic cyberpunk setting,image_edit_meta
edit_20,image_edit_magic_data/image_20.png,convert the sweater to a jacket,image_edit_meta
edit_21,image_edit_magic_data/image_21.png,turn the pencil into a crayon,image_edit_meta
edit_22,image_edit_magic_data/image_22.png,make it Halloween theme,image_edit_meta
edit_23,image_edit_magic_data/image_23.png,turn into a painting,image_edit_meta
edit_24,image_edit_magic_data/image_24.png,have the sunset be a sunrise,image_edit_meta
edit_25,image_edit_magic_data/image_25.png,replace the background with a cityscape,image_edit_meta
edit_26,image_edit_magic_data/image_26.png,give it a fiery background,image_edit_meta
edit_27,image_edit_magic_data/image_27.png,turn into a sunset,image_edit_meta
edit_28,image_edit_magic_data/image_28.png,let's see her in a futuristic city,image_edit_meta
edit_29,image_edit_magic_data/image_29.png,make the church a castle,image_edit_meta
edit_30,image_edit_magic_data/image_30.png,convert the woman to a 3D model,image_edit_meta
edit_31,image_edit_magic_data/image_31.png,have the model wear a hat,image_edit_meta
edit_32,image_edit_magic_data/image_32.png,put them in a treehouse,image_edit_meta
edit_33,image_edit_magic_data/image_33.png,place her on the moon,image_edit_meta
edit_34,image_edit_magic_data/image_34.png,have the boy be a girl,image_edit_meta
edit_35,image_edit_magic_data/image_35.png,turn into a mermaid,image_edit_meta
edit_36,image_edit_magic_data/image_36.png,replace the pool with a lake,image_edit_meta
edit_37,image_edit_magic_data/image_37.png,make the dress sparkle,image_edit_meta
edit_38,image_edit_magic_data/image_38.png,make it a penguin,image_edit_meta
edit_39,image_edit_magic_data/image_39.png,turn the book into a tablet,image_edit_meta
edit_40,image_edit_magic_data/image_40.png,let's see him in a futuristic city,image_edit_meta
edit_41,image_edit_magic_data/image_41.png,let's see her with a different hat,image_edit_meta
edit_42,image_edit_magic_data/image_42.png,turn into a painting,image_edit_meta
edit_43,image_edit_magic_data/image_43.png,convert to a futuristic cyborg,image_edit_meta
edit_44,image_edit_magic_data/image_44.png,have her wear a winter hat,image_edit_meta
edit_45,image_edit_magic_data/image_45.png,make her look at ancient scrolls,image_edit_meta
edit_46,image_edit_magic_data/image_46.png,take the old man and put him in a modern city,image_edit_meta
edit_47,image_edit_magic_data/image_47.png,replace the grass with a cloud,image_edit_meta
edit_48,image_edit_magic_data/image_48.png,have her wear a superhero cape,image_edit_meta
edit_49,image_edit_magic_data/image_49.png,have the puppy wear sunglasses,image_edit_meta
edit_50,image_edit_magic_data/image_50.png,have the girl be in a restaurant,image_edit_meta
