Image Path Index,New Caption
5,<画图>一位女士站在木制码头上，手里握着红色的雨伞，迎着阳光，背景是平静的湖水和远处的山脉，镜头是全景，风格是油画风格。
6,<画图>温暖明媚的一天，阳光洒在平静的海面上，海浪轻轻拍打在沙滩上，背景是蓝天白云，镜头是全景，风格是浪漫风格。
13,<画图>画面中的小女孩在吃甜甜圈，她的身体发出神秘的光芒，周围有pinkfloatingballs，背景是一座未来主义的城市，整个画面的风格是充满未来感的动画风格。
18,<画图>一位年轻的女孩坐在楼梯上，穿着未来赛博朋克风格的服装，她的眼睛被黑色的墨镜遮挡，背景是充满霓虹灯的城市夜晚，全景镜头，风格是赛博朋克风格。
21,<画图>一只穿着万圣节主题的黑色拉布拉多犬正在咀嚼一根骨头，背景是蓝色的天空和绿色的草地，镜头是中景，风格是卡通风格。
22,<画图>在夕阳下，一只棕色的狗坐在岩石上，远处是山峰和森林，镜头是近景，风格是写实风。
26,<画图>一位女子站在蓝色气球的下面，头上也挂着蓝色气球，她看起来很沉思，背景是夕阳下的天空，镜头是全景，风格是超现实主义。
41,<画图>一对年轻的情侣在树林中相拥，男士穿着蓝色西装，女士穿着米色长裙，背景是树林中的一棵大树，中景构图，半身，呈现出浪漫的氛围，同时蕴含着超现实主义风格。
50,<画图>一个女孩正在对着梳妆镜凝视自己，背景是暗色的房间，镜头是中景，风格是摄影风格。
54,<画图>一位南亚女性身着富丽的未来风格服饰，翠绿色的服饰有科技元素的设计，背景是现代化的高科技城市，镜头是全身，风格是现实主义风格。
61,<画图>一位戴着花环的女孩出现在这个画面中，背景是充满未来感的摩天大楼和繁忙的城市街道，镜头是中景，风格是现代风格。
67,<画图>一条流淌着蓝色的小溪穿越带有各种色彩的五彩树林，背景是蔚蓝的天空，镜头是远景，风格是未来主义风格。
77,<画图>一幅油画风格的作品，描绘了一位女性士兵，她戴着一顶士兵帽，深蓝色的眼睛显得十分犀利，背景是抽象的色彩混合，镜头是特写，风格是印象派。
80,<画图>一位青年戴着口罩站在拥挤的城市街道上，他的脸上带着微笑。背景是高楼大厦和川流不息的人群，镜头是全景，风格是反乌托邦风格。
92,<画图>群马在海滩上奔跑，背景是夕阳下的海滩，镜头是全景，风格是摄影风格。
98,<画图>一个年轻女性身着牛仔装束，戴着牛仔帽，站在一个白色的horse笼子前，她正在向我们微笑，整个场景是在一个马场背景下，光线良好，照片采用全景构图方式，全身，呈现的是写实的西部文化，并且展现了一种欢快的氛围。
102,<画图>一对男女正在足球场里互相拥抱，他们看起来非常幸福，背景是繁忙的足球场，镜头是特写，风格是摄影风格。
104,<画图>一位年轻的女子满脸粉红，眼睛蓝得像海洋，头上堆着五彩斑斓的水彩画，背景是灰色的。镜头是特写，风格是超现实主义。
197,<画图>一件红色衬衫，搭配深色牛仔裤，潮人风格，背景是装饰华丽的酒店大厅，镜头是腰部镜头，画风是现实主义。
318,"<画图>一对恋人紧密相拥en,他ir在充满浪漫气氛的城市景观中。他们穿着1920年代的服装，拥有时代独特的发型。背景是充满了活力和乐观的城市风光，镜头是中景，风格是1920年代的印象派风格。"
321,<画图>一座小镇被樱花树环绕，樱花树枝头挂满了粉色的樱花，背景是这个小镇，镜头是全景，风格是浪漫风格。
533,<画图>一个木屋坐落在雪地中，烟囱冒着烟，窗户透出暖黄的灯光，周围是覆盖着厚厚雪的松树，背景是冬季的夜晚，镜头是全景，风格是冬季仙境风格。
562,<画图>一位年轻的女孩坐在未来风格的沙发上，漂亮的蓝色眼睛熠熠生辉，金色的长发飘逸，身穿粉色T恤，背景是充满现代感的未来城市，镜头是中景，风格是未来风格。
679,<画图>一群孩子在雨中玩耍，每个人都撑着雨伞，背景是一个乡村小道，镜头是全景，风格是摄影风格。
747,<画图>一对男女正在海滩上挥手问合影，背景是广阔的海滩和蔚蓝的海水，镜头是中景，风格是摄影风格。
753,<画图>三位年轻女性穿着1920年代的时尚，拍一张合影，背景是一堵老旧的墙，镜头是全身镜头，风格是复古风格。
775,<画图>一位年轻男子喝着烟，身穿灰色上衣，其脸上刺眼的眼镜和胡子引人注目，他周围环绕着烟雾，背后的景色含蓄且神秘，构图方式是近景，半身，散点式构图，创造出一种冷漠的氛围，尽显现代男子的品味。
806,<画图>一位棕发的美女正在孕妇的姿态中伫立，背景简洁而明亮，镜头是腰上视角，风格是摄影风格。
833,<画图>一幅光线充足的室内照片，四个人正在画室里进行画画活动，背景是充满艺术品的画室，镜头是全景，风格是摄影风格。
957,<画图>一位目光坚定的男子，脸上有着络腮胡子，双臂交叉于胸前，背景为一间繁忙的酒吧，整体照片以黑白风格呈现，中景构图，半身，蕴含了男子的魅力氛围。
