id,instruction_target_image,instruction_prompt,source,translate,category,object,,
edit_1,image_edit_magic_data/image_1.png,color the lemur green,image_edit_meta,请将狐猴涂成绿色。,Local,狐猴,,
edit_2,image_edit_magic_data/image_2.png,make the horse into a unicorn,image_edit_meta,把马变成独角兽。,Local,马,,
edit_3,image_edit_magic_data/image_3.png,insert a fish,image_edit_meta,加入一条鱼,Addition,无修改物体,,
edit_4,image_edit_magic_data/image_4.png,turn elephant into dragon,image_edit_meta,将大象变成龙。,Local,大象,,
edit_5,image_edit_magic_data/image_5.png,put her in a snowy mountain,image_edit_meta,把她放在雪山之上,Background,无修改物体,,
edit_6,image_edit_magic_data/image_6.png,make it a sunny day,image_edit_meta,让今天阳光明媚。,Global,无修改物体,,
edit_7,image_edit_magic_data/image_7.png,give it a warm and sunny day,image_edit_meta,请给它一个温暖明媚的一天。,Global,无修改物体,,
edit_8,image_edit_magic_data/image_8.png,replace the white coat with a black one,image_edit_meta,将白色外套换成黑色的。,Local,白色外套,,
edit_9,image_edit_magic_data/image_9.png,put him in a colosseum,image_edit_meta,把他放进斗兽场里。,Background,无修改物体,,
edit_10,image_edit_magic_data/image_10.png,give the cat a bow tie,image_edit_meta,给猫戴个蝴蝶结。,Addition,无修改物体,,
edit_11,image_edit_magic_data/image_11.png,make the beach a desert,image_edit_meta,把海滩变成沙漠。,Background,无修改物体,,
edit_12,image_edit_magic_data/image_12.png,change the background to a bustling city square,image_edit_meta,将背景更改为繁忙的城市广场。,Background,无修改物体,,
edit_13,image_edit_magic_data/image_13.png,have her walk on water,image_edit_meta,让她在水上行走,Background,无修改物体,,
edit_14,image_edit_magic_data/image_14.png,more futuristic,image_edit_meta,更未来的,Global,无修改物体,,
edit_15,image_edit_magic_data/image_15.png,have them holding hands,image_edit_meta,让他们手牵手,Local,他们,,
edit_16,image_edit_magic_data/image_16.png,change their outfits to modern ones,image_edit_meta,将他们的服装换成现代的。,Local,服装,,
edit_17,image_edit_magic_data/image_17.png,have him be holding a surfboard,image_edit_meta,让他拿着冲浪板,Addition,他,,
edit_18,image_edit_magic_data/image_18.png,replace spaceship with a giant pizza,image_edit_meta,用一个巨大的披萨代替宇宙飞船,Local,宇宙飞船,,
edit_19,image_edit_magic_data/image_19.png,convert to a futuristic cyberpunk setting,image_edit_meta,转换到未来的赛博朋克设置,Global,无修改物体,,
edit_20,image_edit_magic_data/image_20.png,convert the sweater to a jacket,image_edit_meta,把毛衣改成夹克,Local,毛衣,,
edit_21,image_edit_magic_data/image_21.png,turn the pencil into a crayon,image_edit_meta,把铅笔变成蜡笔,Local,铅笔,,
edit_22,image_edit_magic_data/image_22.png,make it Halloween theme,image_edit_meta,将其变成万圣节主题,Global,无修改物体,,
edit_23,image_edit_magic_data/image_23.png,turn into a painting,image_edit_meta,变成一幅画,Global,无修改物体,,
edit_24,image_edit_magic_data/image_24.png,have the sunset be a sunrise,image_edit_meta,让日落成为日出。,Local,太阳,,
edit_25,image_edit_magic_data/image_25.png,replace the background with a cityscape,image_edit_meta,请将背景替换为城市景观。,Background,无修改物体,,
edit_26,image_edit_magic_data/image_26.png,give it a fiery background,image_edit_meta,请给它加上一个火红的背景。,Background,无修改物体,,
edit_27,image_edit_magic_data/image_27.png,turn into a sunset,image_edit_meta,变成夕阳,Global,无修改物体,,
edit_28,image_edit_magic_data/image_28.png,let's see her in a futuristic city,image_edit_meta,让我们看看她在未来城市中的样子。,Background,无修改物体,,
